date,facility,state,operator_class,type_class,pop_est,cummulative_cases,incidence,normalized_incidence,week3_total,outbreak,unique_outbreak,vax_timing,community_vax_rate,political_leaning
2020-05-06,Adams County Correctional Center,MS,Public,mixed,926,15,0,0.00000,0.00000,FALSE,FALSE,late,low,R
2020-05-13,Adams County Correctional Center,MS,Public,mixed,926,15,0,0.00000,0.00000,FALSE,FALSE,late,low,R
2020-05-20,Adams County Correctional Center,MS,Public,mixed,926,15,0,0.00000,0.00000,FALSE,FALSE,late,low,R
2020-05-27,Adams County Correctional Center,MS,Public,mixed,926,15,0,0.00000,0.00000,FALSE,FALSE,late,low,R
2020-06-03,Adams County Correctional Center,MS,Public,mixed,926,17,2,0.00216,0.00216,FALSE,FALSE,late,low,R
2020-06-10,Adams County Correctional Center,MS,Public,mixed,926,31,14,0.01512,0.01728,FALSE,FALSE,late,low,R
2020-06-19,Adams County Correctional Center,MS,Public,mixed,926,35,4,0.00432,0.02160,FALSE,FALSE,late,low,R
2020-06-26,Adams County Correctional Center,MS,Public,mixed,926,35,0,0.00000,0.01944,FALSE,FALSE,late,low,R
2020-07-03,Adams County Correctional Center,MS,Public,mixed,926,35,0,0.00000,0.00432,FALSE,FALSE,late,low,R
2020-07-10,Adams County Correctional Center,MS,Public,mixed,926,35,0,0.00000,0.00000,FALSE,FALSE,late,low,R
2020-07-17,Adams County Correctional Center,MS,Public,mixed,926,35,0,0.00000,0.00000,FALSE,FALSE,late,low,R
2020-07-24,Adams County Correctional Center,MS,Public,mixed,926,36,1,0.00108,0.00108,FALSE,FALSE,late,low,R
2020-07-31,Adams County Correctional Center,MS,Public,mixed,926,40,4,0.00432,0.00540,FALSE,FALSE,late,low,R
2020-08-07,Adams County Correctional Center,MS,Public,mixed,926,41,1,0.00108,0.00648,FALSE,FALSE,late,low,R
2020-08-14,Adams County Correctional Center,MS,Public,mixed,926,41,0,0.00000,0.00540,FALSE,FALSE,late,low,R
2020-08-21,Adams County Correctional Center,MS,Public,mixed,926,43,2,0.00216,0.00324,FALSE,FALSE,late,low,R
2020-08-28,Adams County Correctional Center,MS,Public,mixed,926,67,24,0.02592,0.02808,FALSE,FALSE,late,low,R
2020-09-04,Adams County Correctional Center,MS,Public,mixed,918,68,1,0.00109,0.02917,FALSE,FALSE,late,low,R
2020-09-11,Adams County Correctional Center,MS,Public,mixed,918,74,6,0.00654,0.03354,FALSE,FALSE,late,low,R
2020-09-18,Adams County Correctional Center,MS,Public,mixed,908,79,5,0.00551,0.01313,FALSE,FALSE,late,low,R
2020-09-25,Adams County Correctional Center,MS,Public,mixed,908,82,3,0.00330,0.01535,FALSE,FALSE,late,low,R
2020-10-02,Adams County Correctional Center,MS,Public,mixed,908,83,1,0.00110,0.00991,FALSE,FALSE,late,low,R
2020-10-11,Adams County Correctional Center,MS,Public,mixed,908,91,8,0.00881,0.01322,FALSE,FALSE,late,low,R
2020-10-16,Adams County Correctional Center,MS,Public,mixed,908,93,2,0.00220,0.01211,FALSE,FALSE,late,low,R
2020-10-23,Adams County Correctional Center,MS,Public,mixed,908,94,1,0.00110,0.01211,FALSE,FALSE,late,low,R
2020-10-30,Adams County Correctional Center,MS,Public,mixed,908,96,2,0.00220,0.00551,FALSE,FALSE,late,low,R
2020-11-06,Adams County Correctional Center,MS,Public,mixed,908,97,1,0.00110,0.00441,FALSE,FALSE,late,low,R
2020-11-13,Adams County Correctional Center,MS,Public,mixed,908,99,2,0.00220,0.00551,FALSE,FALSE,late,low,R
2020-11-20,Adams County Correctional Center,MS,Public,mixed,534,101,2,0.00375,0.00705,FALSE,FALSE,late,low,R
2020-11-27,Adams County Correctional Center,MS,Public,mixed,457,104,3,0.00656,0.01251,FALSE,FALSE,late,low,R
2020-12-04,Adams County Correctional Center,MS,Public,mixed,457,105,1,0.00219,0.01250,FALSE,FALSE,late,low,R
