facility,start_date,end_date,weeks_of_data,operator,type,state,avg_pop,max_pop,min_pop,pop_change_percent,vax_timing,community_vax_rate,political_leaning,staff_positive,any_outbreak,unique_outbreaks,unique_outbreaks_perweeksdata,outbreak_weeks,outbreak_weeks_percent,max_incidence_normalized,max_incidence_percent
Adams County Correctional Center,2020-05-06,2021-06-11,57.29,Public,mixed,MS,636.86,926,300,-68,late,low,R,NA,TRUE,1,0.01746,11,19.20,0.210,20.99
Adelanto ICE Processing Center,2020-05-30,2021-06-14,54.29,Private,dedicated,CA,827.69,1374,291,-79,early,low,D,1,TRUE,1,0.01842,1,1.84,0.051,5.11
Alexandria Staging Facility,2020-06-02,2021-06-17,54.29,Private,dedicated,LA,162.73,206,119,-42,late,low,R,15,TRUE,2,0.03684,12,22.11,0.101,10.08
Allen Parish Detention Center,2020-07-18,2021-06-12,47.00,Public,mixed,LA,69.15,80,37,-54,late,low,R,NA,TRUE,1,0.02128,3,6.38,0.113,11.25
Baker County Detention Center,2020-06-02,2021-06-17,54.29,Public,mixed,FL,207.40,239,143,-40,late,low,R,NA,FALSE,0,0.00000,0,0.00,0.025,2.48
Bergen County Jail,2020-05-06,2021-06-11,57.29,Public,mixed,NJ,185.72,213,142,-33,late,high,D,1,FALSE,0,0.00000,0,0.00,0.055,5.53
Berks Family Residential Center,2020-12-12,2021-06-05,25.00,Public,mixed,PA,16.77,17,16,-6,early,low,D,NA,TRUE,1,0.04000,3,12.00,0.188,18.75
Boone County Jail,2021-04-06,2021-06-08,9.00,Public,mixed,KY,55.60,60,54,-10,late,low,R,NA,FALSE,0,0.00000,0,0.00,0.019,1.85
Bristol County Detention Center,2020-05-07,2021-06-12,57.29,Public,mixed,MA,70.90,128,18,-86,early,high,D,NA,TRUE,1,0.01746,3,5.24,0.217,21.74
Broward Transitional Center,2020-05-07,2021-06-12,57.29,Private,dedicated,FL,420.55,482,310,-36,late,low,R,NA,TRUE,3,0.05237,6,10.47,0.095,9.52
Buffalo (Batavia) Service Processing Center,2020-05-12,2021-06-15,57.00,Private,dedicated,NY,316.84,379,231,-39,late,low,D,NA,TRUE,1,0.01754,4,7.02,0.128,12.83
Butler County Jail,2020-12-15,2021-06-15,26.00,Public,mixed,OH,93.74,102,82,-20,late,low,R,1,FALSE,0,0.00000,0,0.00,0.011,1.09
CCA Florence Correctional Center,2020-09-12,2021-06-05,38.00,Private,mixed,AZ,111.92,133,84,-37,late,low,D,NA,TRUE,2,0.05263,19,50.00,0.411,41.07
Cache County Jail,2020-08-31,2021-06-14,41.00,Public,mixed,UT,4.90,15,1,-93,late,low,R,NA,TRUE,1,0.02439,4,9.76,0.533,53.33
Calhoun County Correctional Center,2020-05-15,2021-06-13,56.29,Public,mixed,MI,127.79,138,91,-34,early,low,D,NA,TRUE,1,0.01777,3,5.33,0.145,14.49
Cambria County Prison,2020-10-03,2021-06-05,35.00,Public,mixed,PA,13.50,31,6,-81,early,low,D,NA,TRUE,3,0.08571,8,22.86,0.143,14.29
Catahoula Correctional Center,2020-05-06,2021-06-11,57.29,Public,mixed,LA,261.59,436,16,-96,late,low,R,NA,TRUE,2,0.03491,3,5.24,0.092,9.17
